Data,Total de casos
2020-03-27,0
2020-03-28,10
2020-03-29,10
2020-03-30,12
2020-03-31,18
2020-04-01,19
2020-04-02,22
2020-04-03,25
2020-04-04,35
2020-04-05,38
2020-04-06,38
2020-04-07,44
2020-04-08,50
2020-04-09,58
2020-04-10,60
2020-04-11,64
2020-04-12,64
2020-04-13,72
2020-04-14,75
2020-04-15,79
2020-04-16,83
2020-04-17,88
2020-04-18,91
2020-04-19,93
2020-04-20,97
2020-04-21,97
2020-04-22,98
2020-04-23,108
2020-04-24,119
2020-04-25,125
2020-04-26,128
2020-04-27,130
2020-04-28,127
2020-04-29,129
2020-04-30,132
2020-05-01,138
2020-05-02,141
2020-05-03,144
2020-05-04,145
2020-05-05,148
2020-05-06,149
2020-05-07,163
2020-05-08,170
2020-05-09,184
2020-05-10,185
2020-05-11,192
2020-05-12,211
2020-05-13,219
2020-05-14,235
2020-05-15,250
2020-05-16,264
2020-05-17,271
2020-05-18,289
2020-05-19,307
2020-05-20,315
2020-05-21,376
2020-05-22,380
2020-05-23,425
2020-05-24,491
2020-05-25,490
2020-05-26,518
2020-05-27,564
2020-05-28,611
2020-05-29,655
2020-05-30,691
2020-05-31,723
2020-06-01,748
2020-06-02,796
2020-06-03,829
2020-06-04,901
2020-06-05,976
2020-06-06,1037
2020-06-07,1082
2020-06-08,1213
2020-06-09,1287
2020-06-10,1336
2020-06-11,1468
2020-06-12,1538
2020-06-13,1546
2020-06-14,1657
2020-06-15,1827
2020-06-16,1857
2020-06-17,1948
2020-06-18,2022
2020-06-19,2173
2020-06-20,2258
2020-06-21,2412
2020-06-22,2629
2020-06-23,2762
2020-06-24,2940
2020-06-25,3041
2020-06-26,3161
2020-06-27,3277
2020-06-28,3579
2020-06-29,3592
2020-06-30,3772
2020-07-01,4008
2020-07-02,4203
2020-07-03,4371
2020-07-04,4751
2020-07-05,4789
2020-07-06,4969
2020-07-07,5222
2020-07-08,5524
2020-07-09,5699
2020-07-10,6046
2020-07-11,6232
2020-07-12,6232
2020-07-13,6280
2020-07-14,6500
2020-07-15,6660
2020-07-16,6832
2020-07-17,7099
2020-07-18,6968
2020-07-19,7252
2020-07-20,7698
2020-07-21,7924
2020-07-22,8402
2020-07-23,8929
2020-07-24,9130
2020-07-25,9305
2020-07-26,9406
2020-07-27,9781
2020-07-28,10201
2020-07-29,10604
2020-07-30,11244
2020-07-31,11507
2020-08-01,11645
2020-08-02,11726
2020-08-03,11978
2020-08-04,12383
2020-08-05,12792
2020-08-06,13021
2020-08-07,13449
2020-08-08,13510
2020-08-09,13598
2020-08-10,13863
2020-08-11,14177
2020-08-12,14483
2020-08-13,14732
2020-08-14,14944
2020-08-15,14955
2020-08-16,15116
2020-08-17,15345
2020-08-18,15538
2020-08-19,15599
2020-08-20,15883
2020-08-21,16060
2020-08-22,16341
2020-08-23,16389
2020-08-24,16654
2020-08-25,17121
2020-08-26,17386
2020-08-27,17662
2020-08-28,17956
2020-08-29,18154
2020-08-30,18319
2020-08-31,18470
2020-09-01,18699
2020-09-02,19027
2020-09-03,19219
2020-09-04,19576
2020-09-05,19576
2020-09-06,19782
2020-09-07,19862
2020-09-08,20070
2020-09-09,20246
2020-09-10,20526
2020-09-11,20794
2020-09-12,20956
2020-09-13,21025
2020-09-14,21215
2020-09-15,21417
2020-09-16,21688
2020-09-17,21964
2020-09-18,22209
2020-09-19,22326
2020-09-20,22387
2020-09-21,22639
2020-09-22,22781
